Designator,Footprint,Quantity,Value,LCSC Part #
BT1,BatteryHolder_Keystone_2468_2xAAA_noholes,1,Battery,C5290191
"C1, C3",0402,2,100n,C361203
"C2, C4",0805,2,22u,C45783
D1,D_SOD-123,1,1N5819,C5185907
D2,0603,1,RED LED,C965799
"J1, J2, J3, J4, J5, J6, J7, J8",PinSocket_2x03_P2.54mm_Vertical_nosilk,8,SAO,C92272
L1,IND-SMD_L5.0-W5.0,1,47u,C520357
R1,0402,1,330,C25104
"R10, R11, R12, R13, R14, R15, R16, R17, R2, R3, R4, R5, R6, R7, R8, R9",0402,16,4.7k,C25940
SW1,SW_SPDT_PCM12,1,ON/OFF,C319020
U1,SOT-89-3,1,QX2303L33E,C236071
